item,qty_per_unit,part,spec,source,unit_price_usd,price_before_usd,price_100_usd,price_basis,verified,notes
Knee output tube,1,"42CrMo4 tube Ø30/22 x 133, keyed both ends",341 g; from the knee module flange down through the yaw module to the knee drum,"turned, 20 pcs",30,0,20,estimate (actuator BOM eccentric shaft $35 / $22 as the reference),no,Carries 268 N·m peak drum torque
Femur output shaft,1,"42CrMo4 tube Ø18/10 x 244, keyed both ends",337 g; from the femur module flange down through the knee and yaw modules to the femur drum,"turned, 20 pcs",28,0,18,estimate,no,137 N·m peak drum torque -> 88 MPa
Knee drum,1,"turned 6061 Ø70 x 32 + flanges and bearing bosses, rope groove r 32 at 5.5 mm pitch, 2 x 8x7 keys","203 g; HK4012 above, HK3012 below","turned, 20 pcs",28,0,17,estimate (actuator BOM capstan drum $20 / $12 + bosses),no,Groove 26 mm; the rope band + walk needs 26.4 (leg.json drum_bands)
Femur drum,1,"turned 6061 Ø46 x 32 + flanges and bosses, rope groove r 20, 2 x 6x6 keys",76 g; 2 x HK2512,"turned, 20 pcs",22,0,13,estimate,no,Groove 26 mm; the rope band + walk needs 34 mm: the drum has to grow to 40 mm (open item)
Drum bearing HK4012,1,drawn-cup needle 40 x 47 x 12,"PTI: Cr 13.3 kN, C0r 23.1 kN",bearing distributor,5,0,4,typical (actuator BOM HK2512 $4 / $3),partly,"knee drum, upper"
Drum bearing HK3012,1,drawn-cup needle 30 x 37 x 12,"PTI: Cr 11.5 kN, C0r 17.3 kN",bearing distributor,4.5,0,3.5,typical,partly,"knee drum, lower"
Drum bearing HK2512,2,drawn-cup needle 25 x 32 x 12,"NTN: Cr 11.8 kN, C0r 16.3 kN",bearing distributor,4,0,3,typical,partly,femur drum; rope resultant 7.9 kN -> static SF 4.1
Coxa side plate,2,"laser-cut 6 mm 6061, ~230 x 140, HK3012 bore","411 g each, x = +-46..52","laser-cut, 40 pcs",16,0,9,estimate (actuator floor plate Ø192 $14 / $8),no,
Coxa bearing boss,2,"turned 6061 ring r 18.5..28 x 6, bonded and bolted inside the cheek",22 g each,"turned, 40 pcs",8,0,5,estimate,no,HK3012 cup seat
Crank shaft bearing HK3012,2,drawn-cup needle 30 x 37 x 12 in the coxa cheek bosses,PTI: C0r 17.3 kN each; 30 kN static resultant summed as scalars -> SF 1.15,bearing distributor,4.5,0,3.5,typical,partly,The tightest bearing on the leg; the scalar sum is conservative (directions differ)
Femur pivot bearing HK3012,2,"drawn-cup needle 30 x 37 x 12 in the femur carrier, on the crank shaft",static SF 3.6,bearing distributor,4.5,0,3.5,typical,partly,
Femur carrier,1,"6061 plate 25 mm, CNC profile ~90 x 120 with the Ø37 bearing bore and the beam socket",402 g; the femur sector plates bolt to it (6 x M6 at r 32 each side),"CNC, 20 pcs",60,0,38,estimate,no,
Femur beam,1,"6061-T6 rectangular tube 30 x 60 x 3, 160 mm",218 g; bending SF 2.7 at the design load,"tube stock, cut",6,0,4,estimate,no,
Knee cheek,2,laser-cut 6 mm 6061 with the HK3012 bore,83 g each,"laser-cut, 40 pcs",9,0,5,estimate,no,
Knee bearing boss,2,turned 6061 ring r 18.5..28 x 6,22 g each,"turned, 40 pcs",8,0,5,estimate,no,
Knee spacer block,2,"6061 block 31 x 20 x 60, clamps the beam end between the cheeks",100 g each,"milled, 40 pcs",10,0,6,estimate,no,
Knee pin bearing HK3012,2,drawn-cup needle 30 x 37 x 12 in the knee cheek bosses,static SF 2.8,bearing distributor,4.5,0,3.5,typical,partly,
Femur sector plate,2,"laser-cut 6061 laminate: 6 mm core + 2 x 2 mm cheeks over the groove arc, r 80 rope groove, 157 deg arc, bore 16",188 g each; bronze bush on the crank shaft; bolted to the carrier,"laser-cut, 60 pcs + bonding",30,0,17,estimate (actuator BOM sector Ø240 $25 / $14),no,
Crank sector plate,2,"laser-cut 6061 laminate as above, r 80, 142 deg arc; A dowelled to the crank shaft flange, B to its hub",177 g each,"laser-cut, 60 pcs + bonding",30,0,17,estimate,no,
Crank shaft,1,"42CrMo4 QT turned from Ø80 bar: Ø30/18 x 106 with an integral Ø76 x 3 flange at x 35..38, Ø24/10 x 30 stub with 2 x 8x7 keyways, 2 x 10x8 keyways at the pulley end",555 g; torsion SF 2.9 (Ø30/18) / 1.6 (Ø24/10 stub),"turned, 20 pcs",75,0,48,estimate: Ø80 bar stock and a flange turned between centres (actuator eccentric shaft $35 / $22 from Ø25 bar),no,Round 14b: the flange replaces the key in the aluminium crank plate A (hub bearing SF 0.77)
Crank hub B,1,"42CrMo4 hub, bore 24 with 2 x 8x7 keyways x 26, OD 30 (the left cheek bearing's journal), Ø76 x 3 flange","142 g; hub bearing SF 2.2, key shear 3.1","turned + keyseated, 20 pcs",28,0,18,estimate,no,Needle rollers run on the hub OD: harden to 58 HRC or accept the derating (same caveat as the shaft journals)
Link pulley,2,"turned 6061 Ø146: 12 mm rim with the r 70 rope groove, 6 mm web, bore 40, 4 x Ø8 dowel holes at r 36","342 g each; drive pulley on the crank shaft, knee pulley on the knee pin","turned, 40 pcs",45,0,28,estimate,no,
Link pulley hub,2,"42CrMo4 hub, bore 30 with 2 x 10x8 keyways x 24, OD 40, Ø76 x 3 flange dowelled to the pulley web","181 g each; hub bearing SF 2.6, key shear 4.5","turned + keyseated, 40 pcs",30,0,19,estimate,no,Round 14b: replaces the 12 mm key in the aluminium pulley hub (SF 0.9 / 0.23)
Knee pin,1,"42CrMo4 QT tube Ø30/18 x 136, 2 x 10x8 keyways x 50 (tibia carrier) + 2 x 10x8 x 24 (pulley hub)",483 g; torsion SF 2.9,"turned, 20 pcs",32,0,20,estimate,no,
Parallel key,8,"DIN 6885 A: 2 x 8x7x26 (crank hub B), 4 x 10x8x24 (pulley hubs), 2 x 10x8x50 (tibia carrier)",C45 keysteel,fastener distributor,0.6,0,0.4,typical,no,"Drum keys (2 x 8x7x30, 2 x 6x6x30) counted with the drums"
Dowel pin Ø8 x 16,16,"ISO 8734 hardened, 4 per flange (crank flange, crank hub B, two pulley hubs)","torque into the aluminium: 4.5 kN per dowel, plate bearing SF 2.6 (6 mm)",fastener distributor,0.4,0,0.3,typical,no,
Bronze bush,2,sintered bronze Ø30/32 x 10 under the femur sector plates,the sectors turn with the femur on the crank shaft,bearing distributor,3,0,2,typical,no,
Capstan rope,3.48,"Marlow D12 Max 78 (Dyneema SK78) 5 mm, spliced eyes","femur 1.04 m, knee 1.25 m, two link loops 0.43 m each, +10 % for eight splices",Marlow / rope distributor,6,0,5,per metre estimate (actuator BOM); splicing in-house,partly,"Min spliced strength 29.2 kN (docs/reference/marlow-d12-max-75-78.pdf): SF 3.1-4.3 at the design load, 6.6-7.7 continuous; critical temperature 80 C"
Rope tensioner,6,M8 turnbuckle with an eye and a spring-washer stack,one per rope end on the sectors (4) and on the drive pulley (2); pretension 1.0-1.4 kN,fastener distributor,4,0,3,typical (actuator BOM),no,Re-tension on a schedule: SK78 creeps 0.5 %/yr at 20 % load
Tibia carrier,1,CNC 6061: Ø56 x 60 keyed hub + web + tube plug,"477 g; 2 x 10x8x50 keys, hub bearing SF 1.8","CNC, 20 pcs",55,0,35,estimate,no,
Tibia tube,1,"6061-T6 rectangular tube 30 x 50 x 3, 435 mm",522 g; root bending SF 1.9 at the knee design torque,"tube stock, cut",10,0,6,estimate,no,
Foot plug,1,"6061 block, fits the tube bore, carries the load cell",105 g,"milled, 20 pcs",12,0,8,estimate,no,
Foot contact sensor,1,"Ø25 button load cell, 0-2 kN class (or a snap-action switch behind the pad as the cheap alternate)",40 g; contact detection and the foot force for the controller,AliExpress-class / Digikey,12,0,8,typical (switch alternate ~$2),no,
Foot pad,1,"60 Shore A natural rubber dome bonded to a bolt-on aluminium disc, Ø60",55 g; replaceable,"moulded, 100 pcs / turned disc",10,0,6,estimate,no,
Socket cap screw M6,64,"M6 x 16..25, 8.8, zinc","sector plates to carrier 12, four flanges 24, knee cheeks/spacers 12, standoffs 10, misc 6",fastener distributor,0.1,0,0.06,typical,no,
Socket cap screw M5,20,"M5 x 16, 8.8","coxa cheeks to the hub plates 16, misc 4",fastener distributor,0.08,0,0.05,typical,no,
Socket cap screw M4,16,"M4 x 10..16, 8.8","yaw flange to the RB7013 inner ring 8, foot 4, sensor 4",fastener distributor,0.06,0,0.04,typical,no,
"Washers, nuts, circlips",1,"DIN 471 circlips x 4 (shaft ends), spring washers, nyloc nuts",,fastener distributor,4,0,3,"typical, per leg share",no,
Adhesive,1,"3M DP460 (sector laminates, bosses), Loctite 638 (bearing cups, bushes)",,,6,0,4,per leg share (actuator BOM $8 per unit),no,
